,Date,Event,Venue,Time Contact,Unnamed: 4,Officially
108,,,Castle Ward,10am atlas@atlasrunning.co.uk,,
109,,,,4.2mile- www.atlasrunning.co.uk,,
110,,,,10.10am,,
111,Fri 22,Run The Trails Mount,Mount Stewart,7pm Chris Stevenson 07970831940,,
112,,Stewart 10k Night Edition House,,,stevensonlighting@hotmail.com,
113,,,,,www.scrabostriders.com,
114,Sat 23,Belfast Telegraph Run Castlewellan,,11am,Gerard Rowe 07855586438,
115,,Forest Run Castlewellan Forest Park,,,info@born2runevents.com,
116,,,,,www.born2runevents.com,
117,Sat 23,NI & Ulster Senior XC Lurgan Park,,TBC,Athletics NI 02890602707,
118,,,,,info@athleticsni.org,
119,Sun 24,McGrady Junior XC Race 5 Tollymore Forest,,1pm,Pauline McCauley 07803203650,
120,,Park,,,juniors@newcastleac.org,
121,Sun 24,Stroke Association Queen’s Sport,,11am,Paul Montgomery 07920832255,
122,,"Resolution Run Clubhouse, Upper",,,paul.montgomery@stroke.org.uk,
123,,Malone,,,www.stroke.org.uk/resolution,
124,,,,March 2019,,
125,Sat 2,Walled City 10 Mile Road TBC,,TBC,Pending Permit,
126,,Race,,,,
127,Sat 2,Carmen 10k Carrickmore GFC,,11am,Michael Kerr 028 80760557,
128,,,,,sinead.kerr@hotmail.co.uk,
129,Sun 3,"Slieve Gallion Challenge Longfield Lane,",,10am,Peter Donnelly 07944702434,
130,,"Desertmartin,",,,Pdonnelly604@c2kni.net,
131,,Magherafelt,,,www.desertmartingac.com,
132,Sat 9,"Shane’s Castle Half, Full & Shane’s Castle",,Ultra- 7am,Adrian Daye 07876560015,
133,,Ultra Marathon carpark,,Full- 10am,atlas@atlasrunning.co.uk,
134,,,,Half- 12noon,www.atlasrunning.co.uk,
135,,,,10k- 1pm,,
136,Sun 10,Live Active NI 2k Superhero TBC,,TBC,Pending Permit,
137,,Family Event,,,,
138,Sun 10,Race to Recovery Ormeau Park,,11am,Regina Cox 02890725472,
139,,,,,Regina.cox@addictionni.com,
140,,,,,www.addictionni.com,
141,Sun 17,SPAR Craic 10k 2019 Belfast City Hall,,9am Connla McCann 02890611916/ 07841101274,,√
142,,,,,c.mccann@aisling-events.com,
143,Sun 17,"Jimmy’s Ten Ballydugan Rd,",,11am,Joe Quinn 07395814122,√
144,,Downpatrick,,,Jaykwin69@gmail.com,
145,,,,,www.eastdownac.co.uk,
146,Sat 23,Larne Half Marathon Larne Leisure,,11am,Ruth Moore 07929333982/ 02828583154,
147,,Centre,,,Ruth.moore@belfasttrust.hscni.net,
148,Fri 29,Dublin 2 Belfast TBC,,TBC,Pending Permit,
149,Fri 29,Omagh North Nursery Omagh North,,6.30pm,Amanda Duffy-Phillips 02882246431/,
150,,School’s 40th Anniversary 5k  Nursery School,,,07714727421,
151,,,,,omaghnorthnursery@gmail.com,
152,,,,,www.omaghnorthnursery.org.uk,
153,Sun 31,TQ10k & 1k Family Run Titanic Quarter,,10am,Athletics NI 02890602707,√
154,,2019,,,info@athleticsni.org,
155,,,,April 2019,,
156,Tues,BCC Primary School Cross Various Locations,,9.45am,Rebecca Anderson 028 90270344,
157,2-,Country 2019,,,andersonrebecca@belfastcity.gov.uk,
158,Thurs,,,,www.belfastcity.gov.uk,
159,4,,,,,
160,Thurs,St Malachy’s High School St Malachy’s High,,7pm,Claire Murnin 02843778255,
161,4,"10k & 5k School,",,,cmurnin727@c2kni.net,
162,,Castlewellan,,,www.stmalachys.org.uk,
163,Sat 6,30th SPAR Omagh Half Omagh Leisure,,10am- Walk,Martin McLaughlin 07786164431,√
164,,Marathon & 5k Fun Run Complex,,11am- Half,runnermartin@outlook.com,
165,,,,11.10am- 5k,www.omaghharriers.com,
166,Sat 13,"Gortin 10k, 5k Fun Run & Main Street, Gortin",,12 noon,Kerry Crawford 02881648268,
167,,Walk,,,gortinfunrun@outlook.com,
168,,,,May 2019,,
169,Sun 5,Deep RiverRock Belfast City Stormont Estate,,9am,Belfast Marathon Office 02890605933,√
170,,Marathon,,,info@belfastcitymarathon.org,
171,,,,,www.belfastcitymarathon.com,
172,Sun 5,BCC Primary School Cross Various Locations,,9.45am,Rebecca Anderson 028 90270344,
173,,Country 2019,,,andersonrebecca@belfastcity.gov.uk,
174,,,,,www.belfastcity.gov.uk,
175,,,,,,
176,Fri 10,Scrabo Striders 5k & 10k,Newtownards,6.30pm,Lyndsey Lappin 07872537735,√
177,,Run The Runways,"Airport, Portaferry",,secretary@scrabostriders.com,
178,,,Road,,www.scrabostriders.com,
179,,,,June 2019,,
180,Sun 2,Walled City Marathon,TBC,TBC,Pending Permit,
181,Wed,"Lisburn Half Marathon, 10k",Lagan Valley,6.45pm,Adrian Baron 02892509556,√
182,19,& Fun Run,LeisurePlex,,adrian.baron@lisburncastlereagh.gov.uk,
183,Fri 21,Comber 10k Road Race,TBC,TBC,Pending Permit,
184,Fri 21,Newell 10k & 5k,Lineside,7.30pm,Sean Boyle 02887741818,√
185,,,Coalisland,,floor.coalisland@newellstores.com,
186,Sat 29,Larne AC Coastal Marathon,Larne Leisure,9am,Ruth Moore 07929333982/ 02828583154,√
187,,,Centre,,Ruthmoore844@btinternet.com,
188,,,,,www.larneac.co.uk,
